
Result for 50 elements:

Found number		The bit representation of this number: 
	 0			     00000000 00000000 00000000 00000000
	384			     00000000 00000000 00000001 10000000
	576			     00000000 00000000 00000010 01000000
	960			     00000000 00000000 00000011 11000000
	1056			 00000000 00000000 00000100 00100000
	1440			 00000000 00000000 00000101 10100000
	1632			 00000000 00000000 00000110 01100000
	2016			 00000000 00000000 00000111 11100000
	2064			 00000000 00000000 00001000 00010000
	2448			 00000000 00000000 00001001 10010000
	2640			 00000000 00000000 00001010 01010000
	3024			 00000000 00000000 00001011 11010000
	3120			 00000000 00000000 00001100 00110000
	3504			 00000000 00000000 00001101 10110000
	3696			 00000000 00000000 00001110 01110000
	4080			 00000000 00000000 00001111 11110000
	4104			 00000000 00000000 00010000 00001000
	4488			 00000000 00000000 00010001 10001000
	4680			 00000000 00000000 00010010 01001000
	5064			 00000000 00000000 00010011 11001000
	5160			 00000000 00000000 00010100 00101000
	5544			 00000000 00000000 00010101 10101000
	5736			 00000000 00000000 00010110 01101000
	6120			 00000000 00000000 00010111 11101000
	6168			 00000000 00000000 00011000 00011000
	6552			 00000000 00000000 00011001 10011000
	6744			 00000000 00000000 00011010 01011000
	7128			 00000000 00000000 00011011 11011000
	7224			 00000000 00000000 00011100 00111000
	7608			 00000000 00000000 00011101 10111000
	7800			 00000000 00000000 00011110 01111000
	8184			 00000000 00000000 00011111 11111000
	8196			 00000000 00000000 00100000 00000100
	8580			 00000000 00000000 00100001 10000100
	8772			 00000000 00000000 00100010 01000100
	9156			 00000000 00000000 00100011 11000100
	9252			 00000000 00000000 00100100 00100100
	9636			 00000000 00000000 00100101 10100100
	9828			 00000000 00000000 00100110 01100100
	10212			 00000000 00000000 00100111 11100100
	10260			 00000000 00000000 00101000 00010100
	10644			 00000000 00000000 00101001 10010100
	10836			 00000000 00000000 00101010 01010100
	11220			 00000000 00000000 00101011 11010100
	11316			 00000000 00000000 00101100 00110100
	11700			 00000000 00000000 00101101 10110100
	11892			 00000000 00000000 00101110 01110100
	12276			 00000000 00000000 00101111 11110100
	12300			 00000000 00000000 00110000 00001100
	12684			 00000000 00000000 00110001 10001100
